# command: python3 /Users/jenniferstiens/anaconda3/envs/python38/bin/transit pathway_enrichment output/resamp_all_perm_winz_pc5.tsv GSEA_files/Mbovis_GO_terms.dat GSEA_files/GO_term_names.dat output/gsea_fet.txt -M FET -Pval_col 10 -Qval_col 11
# date: 2023-08-16 09:17:52
# pathway method: FET
# method=FET, PC=2
# genes with associations=3121 out of 4045 total
# significant genes (qval<0.05): 11
# 2474 out of 47127 pathways have >=1 gene; max has 2412
#pathway	total_genes(M)	genes_in_path(n)	significant_genes(N)	signif_genes_in_path(k)	expected	k+PC	n_adj_by_PC	enrichement	pval	qval	description	genes
GO:0048037	4045	354	11	4	0.96	6	1089	2.027	0.011557210017351884	0.39439262473687786	cofactor binding	MB1363/glgP MB1383/irta MB2497/glbO MB3080c/NA
GO:0050662	4045	211	11	3	0.57	5	946	1.946	0.02487019806128239	0.39439262473687786	coenzyme binding	MB1363/glgP MB1383/irta MB3080c/NA
GO:0008144	4045	377	11	3	1.03	5	1112	1.65	0.05288213972033095	0.39439262473687786	drug binding	MB1363/glgP MB1383/irta MB2497/glbO
GO:0055114	4045	472	11	3	1.28	5	1207	1.524	0.07614138477274877	0.39439262473687786	oxidation-reduction process	MB1363/glgP MB1383/irta MB3080c/NA
GO:0005829	4045	484	11	3	1.32	5	1219	1.506	0.07949223976801262	0.39439262473687786	cytosol	MB1363/glgP MB2636c/snop MB3080c/NA
GO:0006810	4045	216	11	2	0.59	4	951	1.544	0.09184900072630053	0.39439262473687786	transport	MB1383/irta MB2497/glbO
GO:0051179	4045	216	11	2	0.59	4	951	1.544	0.09184900072630053	0.39439262473687786	localization	MB1383/irta MB2497/glbO
GO:0051234	4045	216	11	2	0.59	4	951	1.544	0.09184900072630053	0.39439262473687786	establishment of localization	MB1383/irta MB2497/glbO
GO:0043168	4045	564	11	3	1.53	5	1299	1.416	0.1042988154722738	0.39439262473687786	anion binding	MB1363/glgP MB1383/irta MB3080c/NA
GO:0044444	4045	565	11	3	1.54	5	1300	1.412	0.10463643457566166	0.39439262473687786	cytoplasmic part	MB1363/glgP MB2636c/snop MB3080c/NA
