# command: python3 /Users/jenniferstiens/anaconda3/envs/python38/bin/transit pathway_enrichment output/resamp_all_perm_winz_pc5.tsv GSEA_files/kegg_gene_terms.dat GSEA_files/kegg_term_names.dat output/gsea_kegg.txt -M GSEA -ranking LFC -p 1 -LFC_col 6 -Pval_col 10 -Qval_col 11 -p 1
# date: 2023-08-18 12:15:00
# pathway method: GSEA
# method=GSEA, Nperm=10000, p=1
# ranking genes by LFC
# total genes: 4045, mean rank: 2022
# significant pathways enriched for conditionally ESSENTIAL genes: 0 (qval<0.05, mean_rank<2022) (includes genes that are MORE required in condition B than A)
# significant pathways enriched for conditionally NON-ESSENTIAL genes: 1 (qval<0.05, mean_rank>2022) (includes genes that are LESS required in condition B than A)
#   mbo00970 Aminoacyl-tRNA biosynthesis (mean_rank=2104.5)
# pathways sorted by mean_rank
#pathway	description	num_genes	mean_rank	GSEA_score	pval	qval	genes
mbo00364	Fluorobenzoate degradation	2	944.0	0.683544	0.188119	0.652537	MB2787/NA (523) MB2080/NA (1365)
mbo00623	Toluene degradation	2	944.0	0.683544	0.336634	0.778465	MB2787/NA (523) MB2080/NA (1365)
mbo00430	Taurine and hypotaurine metabolism	4	975.8	0.771437	0.055838	0.472523	MB0417/ackA (247) MB2803/aldb (252) MB0416/pta (599) MB2415/ggtB (2805)
mbo00626	Naphthalene degradation	2	1033.0	0.671531	0.267327	0.741832	MB1557/adh (737) MB1893/adhA (1329)
mbo00130	Ubiquinone and other terpenoid-quinone biosynthesis	5	1047.8	0.793575	0.018242	0.423958	MB3241/entC (133) MB1878/NA (525) MB0568/menC (818) MB0573/menH (1750) MB0570/menD (2013)
mbo00564	Glycerophospholipid metabolism	4	1183.8	0.799176	0.044177	0.423958	MB2276/NA (366) MB2311/cdh (370) MB1577/plsB1 (1503) MB1853/pgsA2 (2496)
mbo00052	Galactose metabolism	6	1270.7	0.736642	0.045643	0.423958	MB0636/galK (72) MB0635/galT (372) MB0669/NA (443) MB0513/galE2 (1611) MB1020/galU (1834) MB2498/aglA (3292)
mbo00350	Tyrosine metabolism	6	1288.0	0.617777	0.108911	0.575672	MB3195/aofH (240) MB1557/adh (737) MB1893/adhA (1329) MB3800/hisC2 (1492) MB1760/gabD2 (1603) MB1626/hisC1 (2327)
mbo03060	Protein export	6	1364.2	0.673124	0.069620	0.472523	MB1566/lspA (142) MB1475/secG (815) MB1852/secA2 (1420) MB0753/secY (1545) MB0657/secE1 (1955) MB1256/tatB (2308)
mbo00290	Valine, leucine and isoleucine biosynthesis	2	1387.5	0.620579	0.425743	0.782628	MB3737/leuA (1240) MB1585/ilvA (1535)
mbo00625	Chloroalkane and chloroalkene degradation	6	1422.0	0.467298	0.415842	0.782628	MB1557/adh (737) MB0152/NA (778) MB0791/aldA (1224) MB1893/adhA (1329) MB2610/dhaA (1575) MB2318/NA (2889)
mbo00010	Glycolysis / Gluconeogenesis	19	1442.6	0.540269	0.067901	0.472523	MB0471/lpd (129) MB0217/pckA (294) MB0669/NA (443) MB0467/NA (564) MB1472/pgk (576) MB3691/acs (704) MB1557/adh (737) MB0152/NA (778) MB2238/dlat (1182) MB0791/aldA (1224) MB1893/adhA (1329) MB1471/gap (1849) MB1051/eno (1934) MB1473/tpi (2067) MB0499/gpm1 (2140) MB1643/pykA (2263) MB2721/ppgK (2290) MB2265/aceE (3240) MB3071/adhC (3667)
mbo00240	Pyrimidine metabolism	14	1497.1	0.697940	0.006711	0.372483	MB1420/pyrF (62) MB3310/NA (63) MB1739/cmk (101) MB0238/nrdB (245) MB0585/nrdZ (1035) MB1725/pyrG (1173) MB1049/mazG (1384) MB2163/pyrD (1951) MB1415/pyrB (2033) MB1419/carB (2043) MB1416/pyrC (2074) MB1418/carA (2178) MB0329/dcd (3026) MB1414/pyrR (3591)
mbo00040	Pentose and glucuronate interconversions	4	1519.2	0.769294	0.072368	0.472523	MB1443/rpe (119) MB0750/xylB (1390) MB1020/galU (1834) MB0330/udgA (2734)
mbo00330	Arginine and proline metabolism	11	1524.1	0.495315	0.257426	0.741832	MB1220/NA (67) MB3195/aofH (240) MB2632/speE (565) MB1294/amiB2 (616) MB0152/NA (778) MB0791/aldA (1224) MB3200/NA (1246) MB3409/amiD (2401) MB0511/proC (2904) MB1219/rocA (3162) MB2384/amiA2 (3562)
mbo00520	Amino sugar and nucleotide sugar metabolism	14	1558.4	0.638065	0.020446	0.423958	MB0636/galK (72) MB0635/galT (372) MB0669/NA (443) MB0243/lpqI (492) MB1245/glgC (1018) MB0116/gca (1176) MB0513/galE2 (1611) MB1020/galU (1834) MB1348/murA (2119) MB2721/ppgK (2290) MB0492/murB (2314) MB3365/nagA (2451) MB0330/udgA (2734) MB3336/pmmB (2892)
mbo00620	Pyruvate metabolism	28	1561.8	0.428269	0.148515	0.610561	MB3576/fadA5 (102) MB0471/lpd (129) MB0417/ackA (247) MB0217/pckA (294) MB0467/NA (564) MB3553/ltp3 (569) MB0416/pta (599) MB3691/acs (704) MB1557/adh (737) MB0152/NA (778) MB2360/mez (844) MB2238/dlat (1182) MB0249/fadA2 (1220) MB0791/aldA (1224) MB3737/leuA (1240) MB1893/adhA (1329) MB1898/NA (1576) MB1272/mdh (1802) MB2271/accD6 (1858) MB3313/accA3 (2088) MB1643/pykA (2263) MB1578/frdA (2455) MB1358/fadA4 (2663) MB2265/aceE (3240) MB0882/fadA (3333) MB1580/frdD (3477) MB1579/frdBC (3546) MB3071/adhC (3667)
mbo00053	Ascorbate and aldarate metabolism	3	1578.7	0.474535	0.554455	0.854785	MB0152/NA (778) MB0791/aldA (1224) MB0330/udgA (2734)
mbo04122	Sulfur relay system	13	1583.6	0.540322	0.148515	0.610561	MB3138/moaC1 (9) MB1371/cysM (411) MB0890/moaE2 (542) MB3143/moeB2 (586) MB1370/cysO (835) MB3136/moaA1 (1230) MB2314/sseB (1536) MB1369/mec (1599) MB0424/thiS (1947) MB3311/sseA (2719) MB3144/cyp141 (2758) MB3139/moaD1 (3079) MB0888/moaC2 (3336)
mbo00361	Chlorocyclohexane and chlorobenzene degradation	4	1588.0	0.443304	0.574257	0.873186	MB2787/NA (523) MB2080/NA (1365) MB2610/dhaA (1575) MB2318/NA (2889)
mbo00500	Starch and sucrose metabolism	18	1592.6	0.427524	0.227723	0.722207	MB3520/otsA (238) MB0132/mak (254) MB1363/glgP (319) MB0669/NA (443) MB2029/otsB1 (893) MB3434/NA (951) MB1245/glgC (1018) MB1120/celA2b (1079) MB0063/celA1 (1209) MB0192/bglS (1474) MB1020/galU (1834) MB3057/NA (1916) MB3407/otsB2 (2021) MB3058/NA (2219) MB2425/NA (2840) MB2498/aglA (3292) MB0131/treS (3323) MB1119/celA2a (3343)
mbo00900	Terpenoid backbone biosynthesis	10	1607.4	0.604813	0.087302	0.538360	MB3576/fadA5 (102) MB2195/idsA2 (296) MB3553/ltp3 (569) MB0249/fadA2 (1220) MB1898/NA (1576) MB1038/ispE (2014) MB1115/NA (2121) MB1140/lytB2 (2180) MB1358/fadA4 (2663) MB0882/fadA (3333)
mbo00340	Histidine metabolism	12	1608.4	0.617000	0.034591	0.423958	MB3195/aofH (240) MB0152/NA (778) MB0791/aldA (1224) MB3800/hisC2 (1492) MB1625/hisD (1753) MB1631/hisF (1812) MB3161/NA (1846) MB1632/hisI (1885) MB1629/hisA (1952) MB1628/hisH (1970) MB1627/hisB (2022) MB1626/hisC1 (2327)
mbo03070	Bacterial secretion system	5	1608.6	0.571558	0.306931	0.778465	MB1475/secG (815) MB1852/secA2 (1420) MB0753/secY (1545) MB0657/secE1 (1955) MB1256/tatB (2308)
mbo00523	Polyketide sugar unit biosynthesis	5	1609.0	0.623050	0.168317	0.622772	MB0550/galE3 (747) MB3813/rfbB (1453) MB3493/rmlB1 (1767) MB0341/rmlA (1862) MB3494/rmlC (2216)
mbo01250	Biosynthesis of nucleotide sugars	20	1630.1	0.477797	0.128713	0.610561	MB0636/galK (72) MB0635/galT (372) MB0669/NA (443) MB0118/gmhb (446) MB0550/galE3 (747) MB1245/glgC (1018) MB0116/gca (1176) MB3813/rfbB (1453) MB0117/gmhA (1568) MB0513/galE2 (1611) MB3493/rmlB1 (1767) MB1020/galU (1834) MB0341/rmlA (1862) MB1348/murA (2119) MB3494/rmlC (2216) MB2721/ppgK (2290) MB0492/murB (2314) MB0330/udgA (2734) MB3336/pmmB (2892) MB0119/hdda (3668)
mbo00280	Valine, leucine and isoleucine degradation	30	1643.0	0.355412	0.247525	0.741832	MB3576/fadA5 (102) MB0471/lpd (129) MB1507/echA12 (218) MB0929/echA6 (261) MB3164/fadE23 (395) MB0694/echA5 (498) MB2620/gabT (531) MB3553/ltp3 (569) MB0793/NA (573) MB0152/NA (778) MB3580/echA20 (987) MB0236/fadE4 (1093) MB3803/echA21 (1101) MB0249/fadA2 (1220) MB0791/aldA (1224) MB1898/NA (1576) MB2698/echA15 (1610) MB3308/accD5 (1848) MB2271/accD6 (1858) MB3313/accA3 (2088) MB1529/mutA (2368) MB2855/echA16 (2589) MB1358/fadA4 (2663) MB2511/echA14 (2891) MB0692/echA4 (2928) MB0883/fadB (2946) MB1530/mutB (2961) MB0882/fadA (3333) MB3545/echA19 (3917) MB3408/echA18 (4036)
mbo01040	Biosynthesis of unsaturated fatty acids	2	1644.0	0.692308	0.247525	0.741832	MB1644/tesB1 (1244) MB1124/desA2 (2044)
mbo00680	Methane metabolism	11	1659.2	0.250688	0.871287	0.972201	MB0417/ackA (247) MB0416/pta (599) MB3691/acs (704) MB1206/fbiC (917) MB3290/fbiB (1004) MB3007/cofC (1277) MB1272/mdh (1802) MB1051/eno (1934) MB0499/gpm1 (2140) MB3289/fbiA (3695) MB1123/glyA1 (3932)
mbo00071	Fatty acid degradation	28	1671.2	0.265467	0.772277	0.921750	MB3576/fadA5 (102) MB1507/echA12 (218) MB0929/echA6 (261) MB1380/mbtm (265) MB3164/fadE23 (395) MB0694/echA5 (498) MB3553/ltp3 (569) MB1557/adh (737) MB0152/NA (778) MB3580/echA20 (987) MB0220/fadD4 (1072) MB0236/fadE4 (1093) MB3803/echA21 (1101) MB0249/fadA2 (1220) MB0791/aldA (1224) MB1893/adhA (1329) MB1898/NA (1576) MB2698/echA15 (1610) MB2855/echA16 (2589) MB1358/fadA4 (2663) MB2511/echA14 (2891) MB0692/echA4 (2928) MB0883/fadB (2946) MB1576/fadD11 (2952) MB0882/fadA (3333) MB2210/fadD15 (3504) MB3545/echA19 (3917) MB3408/echA18 (4036)
mbo00380	Tryptophan metabolism	26	1678.5	0.317917	0.584158	0.876238	MB3576/fadA5 (102) MB0471/lpd (129) MB1507/echA12 (218) MB3195/aofH (240) MB0929/echA6 (261) MB0694/echA5 (498) MB3553/ltp3 (569) MB1294/amiB2 (616) MB0152/NA (778) MB3580/echA20 (987) MB3803/echA21 (1101) MB0249/fadA2 (1220) MB0791/aldA (1224) MB3200/NA (1246) MB1898/NA (1576) MB2698/echA15 (1610) MB3409/amiD (2401) MB2855/echA16 (2589) MB1358/fadA4 (2663) MB2511/echA14 (2891) MB0692/echA4 (2928) MB0883/fadB (2946) MB0882/fadA (3333) MB2384/amiA2 (3562) MB3545/echA19 (3917) MB3408/echA18 (4036)
mbo00525	Acarbose and validamycin biosynthesis	3	1694.0	0.597046	0.396040	0.782628	MB3813/rfbB (1453) MB3493/rmlB1 (1767) MB0341/rmlA (1862)
mbo00750	Vitamin B6 metabolism	2	1715.0	0.582983	0.396040	0.782628	MB2639/pdxH (1064) MB1327/thrC (2366)
mbo00572	Arabinogalactan biosynthesis	7	1723.6	0.693122	0.041199	0.423958	MB2692/aftc (64) MB3821/afta (255) MB3808/NA (1762) MB3811/glft1 (1873) MB3824/embB (2001) MB1334/rfe (2611) MB3823/embA (3499)
mbo00640	Propanoate metabolism	25	1724.8	0.344568	0.445545	0.782628	MB0471/lpd (129) MB1507/echA12 (218) MB0417/ackA (247) MB0929/echA6 (261) MB0694/echA5 (498) MB2620/gabT (531) MB0416/pta (599) MB3691/acs (704) MB3580/echA20 (987) MB3803/echA21 (1101) MB2698/echA15 (1610) MB1161/prpD (1740) MB3308/accD5 (1848) MB2271/accD6 (1858) MB0976/sucC (1956) MB3313/accA3 (2088) MB0977/sucD (2110) MB1529/mutA (2368) MB2855/echA16 (2589) MB2511/echA14 (2891) MB0692/echA4 (2928) MB0883/fadB (2946) MB1530/mutB (2961) MB3545/echA19 (3917) MB3408/echA18 (4036)
