# command: python3 /Users/jenniferstiens/anaconda3/envs/python38/bin/transit pathway_enrichment output/resamp_all_perm_winz_pc5.tsv GSEA_files/kegg_gene_terms.dat GSEA_files/kegg_term_names.dat output/gsea_kegg_slpv.txt -M GSEA -ranking SLPV -p 1 -LFC_col 6 -Pval_col 10 -Qval_col 11 -p 1
# date: 2023-08-18 12:19:58
# pathway method: GSEA
# method=GSEA, Nperm=10000, p=1
# ranking genes by SLPV
# total genes: 4045, mean rank: 2022
# significant pathways enriched for conditionally ESSENTIAL genes: 0 (qval<0.05, mean_rank<2022) (includes genes that are MORE required in condition B than A)
# significant pathways enriched for conditionally NON-ESSENTIAL genes: 0 (qval<0.05, mean_rank>2022) (includes genes that are LESS required in condition B than A)
# pathways sorted by mean_rank
#pathway	description	num_genes	mean_rank	GSEA_score	pval	qval	genes
mbo00261	Monobactam biosynthesis	2	326.0	0.850359	0.148515	0.745757	MB1317/cysN (46) MB1316/cysD (606)
mbo03410	Base excision repair	8	1043.6	0.623031	0.118812	0.745757	MB1289/udgb (295) MB1655/polA (310) MB0969/NA (449) MB1714/mpg (767) MB3620/mutY (1019) MB0689/end (1031) MB3325/nei (1155) MB1242/tagA (3323)
mbo03420	Nucleotide excision repair	6	1192.7	0.688200	0.075862	0.745757	MB1664/uvrA (231) MB1655/polA (310) MB1455/uvrC (838) MB0974/uvrD1 (1425) MB1659/uvrB (1669) MB1048/mfd (2683)
mbo00460	Cyanoamino acid metabolism	3	1198.0	0.834743	0.039711	0.745757	MB1123/glyA1 (16) MB2415/ggtB (954) MB0192/bglS (2624)
mbo00450	Selenocompound metabolism	8	1241.8	0.760057	0.031792	0.745757	MB1317/cysN (46) MB1506/trxB1 (238) MB2316/NA (333) MB3944/trxB2 (492) MB1316/cysD (606) MB1499/csd (2260) MB0077/NA (2600) MB1108/metB (3359)
mbo01503	Cationic antimicrobial peptide (CAMP) resistance	3	1353.0	0.755170	0.178218	0.745757	MB0009/ppiA (173) MB3946/NA (1246) MB3744/NA (2640)
mbo00984	Steroid degradation	5	1504.8	0.626877	0.267327	0.824257	MB3602/kshb (311) MB3591/fadD3 (745) MB1848/NA (850) MB3567/kstd (2671) MB3556/ksha (2947)
mbo00670	One carbon pool by folate	5	1522.0	0.902482	0.005062	0.561896	MB1123/glyA1 (16) MB1441/fmt (1396) MB2988/purU (1642) MB0982/purH (2072) MB0981/purN (2484)
mbo00220	Arginine biosynthesis	15	1574.4	0.649695	0.020000	0.745757	MB1910/glnA3 (90) MB1879/ureA (187) MB1880/ureB (530) MB2768/arga (587) MB1881/ureC (998) MB1681/argJ (1199) MB1680/argC (1794) MB1686/argG (2045) MB1683/argD (2050) MB1682/argB (2052) MB2244/glnA1 (2067) MB1684/argF (2110) MB1687/argH (2127) MB0812/purQ (2258) MB1028/arcA (3522)
mbo00780	Biotin metabolism	8	1582.8	0.463942	0.415842	0.870914	MB1615/bioB (147) MB0033/bioF2 (314) MB1597/bioD (642) MB1596/bioF1 (796) MB1477/bisC (1176) MB0412/pks6a (2408) MB1385/fabG2 (3245) MB1595/bioA (3934)
mbo00020	Citrate cycle (TCA cycle)	16	1611.6	0.463597	0.237624	0.799280	MB3346/sdhD (47) MB1579/frdBC (75) MB2265/aceE (120) MB1580/frdD (746) MB3345/sdhC (842) MB3347/sdhA (882) MB3348/sdhB (925) MB0920/gltA2 (1346) MB1578/frdA (1571) MB0977/sucD (1823) MB0976/sucC (1909) MB1272/mdh (1966) MB1162/prpc (2622) MB2238/dlat (2896) MB0217/pckA (3992) MB0471/lpd (4024)
mbo00562	Inositol phosphate metabolism	3	1654.7	0.795765	0.095652	0.745757	MB1630/impA (253) MB1473/tpi (1920) MB3338/sapm (2791)
mbo05152	Tuberculosis	8	1697.8	0.476331	0.415842	0.870914	MB3789/lpqH (247) MB3905/esxA (383) MB0951/pstS3 (783) MB0959/pstS1 (1737) MB0358/dnaK (1835) MB0448/groEL2 (1907) MB3338/sapm (2791) MB3848/NA (3899)
mbo00920	Sulfur metabolism	15	1702.7	0.457498	0.306931	0.830363	MB1317/cysN (46) MB2412/sira (328) MB3373/metA (481) MB1316/cysD (606) MB0397/metZ (1062) MB3311/sseA (1106) MB3144/cyp141 (1137) MB3709/NA (1409) MB2413/cysH (1461) MB2314/sseB (2552) MB1786/NA (2691) MB2362/cysK1 (2838) MB2363/cysE (2874) MB1108/metB (3359) MB0338/NA (3590)
