# command: python3 /Users/jenniferstiens/anaconda3/envs/python38/bin/transit pathway_enrichment output/resamp_all_perm_winz_pc5.tsv GSEA_files/Mbovis_sanger_roles.dat GSEA_files/sanger_roles.dat output/gsea_sanger.txt -M GSEA -ranking LFC -p 1 -LFC_col 6 -Pval_col 10 -Qval_col 11
# date: 2023-08-16 08:54:29
# pathway method: GSEA
# method=GSEA, Nperm=10000, p=1
# ranking genes by LFC
# total genes: 4045, mean rank: 2022
# significant pathways enriched for conditionally ESSENTIAL genes: 3 (qval<0.05, mean_rank<2022) (includes genes that are MORE required in condition B than A)
#   IV.K Chelatases (mean_rank=30.0)
#   I.F.2 Pyrimidine ribonucleotide biosynthesis (mean_rank=1666.8)
#   I.B.8 ATP-proton motive force (mean_rank=1747.4)
# significant pathways enriched for conditionally NON-ESSENTIAL genes: 0 (qval<0.05, mean_rank>2022) (includes genes that are LESS required in condition B than A)
# pathways sorted by mean_rank
#pathway	description	num_genes	mean_rank	GSEA_score	pval	qval	genes
IV.K	Chelatases	2	30.0	0.991838	0.001225	0.048606	MB2875c/NA (26) MB0983/NA (34)
I.C.2	Gluconeogenesis	2	325.5	0.911947	0.056995	0.678238	MB0217/pckA (294) MB0070c/sdaA (357)
III.A.5	Fatty acid transport	2	914.5	0.771600	0.198020	0.785479	MB2813c/ltp1 (389) MB3570c/ltp2 (1440)
I.A.4	Phosphorous compounds	4	937.0	0.670131	0.188119	0.785479	MB1125/phoH2 (139) MB3652/ppa (1072) MB3008/ppk (1201) MB2389c/phoH1 (1336)
I.B.4	Glyoxylate bypass	4	973.0	0.682999	0.118812	0.736386	MB1950/aceA (108) MB1868c/glcB (833) MB3352c/moaX (1360) MB0476/icl (1591)
IV.B.1.b	IS1081	6	975.7	0.739292	0.035484	0.527823	MB2685/NA (818) MB2540c/NA (979) MB1231c/NA (995) MB1076/NA (1000) MB3142/NA (1004) MB3049c/NA (1058)
IV.J	Cyclases	6	1141.7	0.644422	0.108911	0.720022	MB1295/NA (327) MB3411c/NA (706) MB1352c/NA (788) MB1354c/NA (1251) MB1353c/NA (1467) MB1651c/cya (2311)
I.B.5	Pentose phosphate pathway	11	1380.0	0.712811	0.018613	0.316413	MB2462/rbsK (107) MB1443/rpe (120) MB1480c/devB (148) MB1481c/opcA (179) MB1484c/tkt (925) MB1875c/gnd1 (1669) MB1153/gnd2 (1762) MB1482c/zwf2 (1781) MB2492c/rpib (1842) MB1483c/tal (2971) MB1152/zwf1 (3676)
I.F.4	Salvage of nucleosides and nucleotides	10	1467.4	0.580609	0.103774	0.720022	MB3343c/deoA (263) MB2615c/apt (411) MB3337c/upp (425) MB0549/pnp (460) MB3342c/add (586) MB3344c/cdd (663) MB3335/deoD (2316) MB3648c/hpt (2693) MB0488/deoC (3313) MB3425/iunH (3544)
I.B.6.c	Electron transport	15	1516.3	0.502051	0.148515	0.736386	MB3278c/rubB (21) MB3133/fprA (235) MB0417/ackA (247) MB2030c/fdxA (339) MB3279c/rubA (621) MB0910/fprB (1045) MB1647c/cydD (1267) MB3584/fdxB (1392) MB3055c/fixA (1820) MB1210/fdxC (1834) MB3054c/fixB (2029) MB1646c/cydC (2517) MB1648c/cydB (2594) MB1649c/cydA (2809) MB3533c/fdxD (3975)
