#HMM - Genes
#command line: python3 /Users/jenniferstiens/anaconda3/envs/python38/bin/transit hmm output/B1_insertions.wig,output/D1_insertions.wig ref_seqs/Mbovis_LT708304.prot_table output/transit/hmm_neg_exp1.txt
#summary of gene calls: ES=508, GD=223, NE=3276, GA=28, N/A=10
#key: ES=essential, GD=insertions cause growth-defect, NE=non-essential, GA=insertions confer growth-advantage, N/A=not analyzed (genes with 0 TA sites)
#ORF	gene	annotation	TAs	ES sites	GD sites	NE sites	GA sites	saturation	mean	call
MB0001	dnaA	CHROMOSOMAL REPLICATION INITIATOR PROTEIN DNAA	32	32	0	0	0	0.0000	0.00	ES
MB0002	dnaN	DNA POLYMERASE III (BETA CHAIN) DNAN (DNA NUCLEOTIDYLTRANSFERASE)	31	31	0	0	0	0.0000	0.00	ES
MB0003	recF	DNA REPLICATION AND REPAIR PROTEIN RECF (SINGLE-STRAND DNA BINDING PROTEIN)	35	1	0	34	0	0.4000	283.21	NE
MB0004	NA	Zn-ribbon-containing, possibly RNA-binding protein and truncated derivatives	9	9	0	0	0	0.1111	1.00	ES
MB0005	gyrB	DNA GYRASE (SUBUNIT B) GYRB (DNA TOPOISOMERASE (ATP-HYDROLYSING)) (DNA TOPOISOMERASE II) (TYPE II DNA TOPOISOMERASE)	44	44	0	0	0	0.0000	0.00	ES
MB0006	gyrA	DNA GYRASE (SUBUNIT A) GYRA (DNA TOPOISOMERASE (ATP-HYDROLYSING)) (DNA TOPOISOMERASE II) (TYPE II DNA TOPOISOMERASE)	47	46	0	1	0	0.0213	434.00	ES
MB0007	NA	POSSIBLE CONSERVED MEMBRANE PROTEIN	11	0	0	11	0	0.2727	327.00	NE
ILET	NA	tRNA-Ile	5	0	0	5	0	0.0000	0.00	NE
ALAT	NA	tRNA-Ala	3	0	0	3	0	0.0000	0.00	NE
MB0008c	NA	POSSIBLE MEMBRANE PROTEIN	4	0	0	4	0	0.2500	202.00	NE
MB0009	ppiA	PROBABLE IRON-REGULATED PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A PPIA (PPIase A) (ROTAMASE A)	7	0	0	7	0	0.8571	344.83	NE
MB0010c	NA	PROBABLE CONSERVED MEMBRANE PROTEIN	7	0	0	7	0	0.4286	129.00	NE
MB0011c	NA	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN	3	0	0	3	0	0.0000	0.00	NE
MB0012	NA	PROBABLE CONSERVED MEMBRANE PROTEIN	16	0	0	16	0	0.6250	185.50	NE
MB0013	trpG	POSSIBLE ANTHRANILATE SYNTHASE COMPONENT II TRPG (GLUTAMINE AMIDOTRANSFERASE)	15	14	0	0	1	0.0667	1267.00	ES
MB0014c	pknB	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE B PKNB (PROTEIN KINASE B) (STPK B)	25	25	0	0	0	0.0000	0.00	ES
MB0015c	pknA	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE A PKNA (PROTEIN KINASE A) (STPK A)	16	15	0	0	1	0.0625	463.00	ES
MB0016c	pbpA	PROBABLE PENICILLIN-BINDING PROTEIN PBPA	37	0	0	37	0	0.4324	230.12	NE
MB0017c	rodA	PROBABLE CELL DIVISION PROTEIN RODA	27	0	0	27	0	0.4444	300.50	NE
MB0018c	pstp	phosphoserine/threonine phosphatase pstp	25	11	0	14	0	0.2800	159.14	NE
MB0019c	fhaB	FHA-domain-containing protein	14	2	0	12	0	0.3571	94.00	NE
MB0020c	fhaA	FIG00824290: FHA domain protein	49	43	0	6	0	0.0612	230.33	ES
LEUT	NA	tRNA-Leu	0	0	0	0	0	0.0000	0.00	N/A
MB0021c	NA	putative oxidoreductase, nitronate monooxygenase family	23	0	0	23	0	0.6957	333.44	NE
MB0022c	whiB5	probable transcriptional regulatory protein whib-like whib5	8	0	0	8	0	0.6250	258.80	NE
MB0023	NA	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN	12	12	0	0	0	0.0000	0.00	ES
MB0024	NA	PUTATIVE SECRETED PROTEIN P60-RELATED PROTEIN [FIRST PART]	12	0	0	12	0	0.6667	90.25	NE
MB0025	NA	PUTATIVE SECRETED PROTEIN P60-RELATED PROTEIN [SECOND PART]	3	0	0	3	0	0.6667	76.50	NE
MB0026	NA	CONSERVED HYPOTHETICAL PROTEIN	8	0	0	8	0	0.3750	147.00	NE
MB0027	NA	CONSERVED HYPOTHETICAL PROTEIN	17	0	0	17	0	0.5882	172.90	NE
MB0028	NA	conserved hypothetical protein	5	0	0	5	0	0.8000	261.00	NE
MB0029	NA	conserved hypothetical protein	5	0	0	5	0	0.6000	291.00	NE
MB0030	NA	Vegetative cell wall protein gp1 precursor	20	0	0	20	0	0.4500	145.89	NE
MB0031	NA	conserved hypothetical protein	5	0	0	5	0	0.4000	76.50	NE
MB0032	NA	possible remnant of a transposase	1	0	0	1	0	0.0000	0.00	NE
MB0033	bioF2	POSSIBLE 8-AMINO-7-OXONONANOATE SYNTHASE BIOF2 (AONS) (8-AMINO-7-KETOPELARGONATE SYNTHASE) (7-KETO-8-AMINO-PELARGONIC ACID SYNTHETASE) (7-KAP SYNTHETASE) (L-ALANINE--PIMELYL CoA LIGASE)	57	0	31	26	0	0.4211	207.46	GD
MB0034	acpA	PROBABLE ACYL CARRIER PROTEIN ACPA (ACP)	3	0	0	3	0	1.0000	95.67	NE
MB0035	NA	Ketosteroid isomerase-related protein	5	0	0	5	0	0.6000	1175.00	NE
MB0036	fadD34	PROBABLE FATTY-ACID-COA LIGASE FADD34 (FATTY-ACID-COA SYNTHETASE) (FATTY-ACID-COA SYNTHASE)	25	0	0	25	0	0.7200	321.06	NE
MB0037c	NA	conserved protein	4	0	0	4	0	0.5000	139.50	NE
MB0038c	NA	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN	21	0	0	21	0	0.5714	228.08	NE
MB0039	NA	UPF0301 protein YqgE	9	0	0	9	0	0.8889	375.75	NE
MB0040c	NA	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN	4	0	0	4	0	0.5000	26.00	NE
MB0041c	mtc28	SECRETED PROLINE RICH PROTEIN MTC28 (PROLINE RICH 28 KDA ANTIGEN)	10	0	0	10	0	0.7000	394.86	NE
MB0042	leuS	PROBABLE LEUCYL-tRNA SYNTHETASE LEUS (LEUCINE--tRNA LIGASE) (LEURS)	72	71	0	1	0	0.0139	78.00	ES
MB0043c	NA	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY MARR-FAMILY)	5	0	0	5	0	0.8000	13.75	NE
MB0044c	NA	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY)	11	0	0	11	0	0.5455	134.17	NE
MB0045c	NA	POSSIBLE OXIDOREDUCTASE	20	0	0	20	0	0.6000	206.42	NE
MB0046c	NA	POSSIBLE HYDROLASE	7	0	0	7	0	0.5714	46.75	NE
MB0047c	ino1	MYO-INOSITOL-1-PHOSPHATE SYNTHASE INO1 (Inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (Glucose 6-phosphate cyclase) (Glucocycloaldolase)	17	17	0	0	0	0.0000	0.00	ES
MB0048c	NA	Transcriptional regulator, PadR family	8	2	0	6	0	0.6250	402.40	NE
MB0049c	NA	POSSIBLE MEMBRANE PROTEIN	16	0	0	16	0	0.6875	222.73	NE
MB0050	NA	CONSERVED HYPOTHETICAL PROTEIN	9	0	0	9	0	1.0000	307.00	NE
MB0051	ponA1	PROBABLE BIFUNCTIONAL PENICILLIN-BINDING PROTEIN 1A/1B PONA1 (MUREIN POLYMERASE) (PBP1): PENICILLIN-INSENSITIVE TRANSGLYCOSYLASE (PEPTIDOGLYCAN TGASE) + PENICILLIN-SENSITIVE TRANSPEPTIDASE (DD-TRANSPEPTIDASE)	41	0	0	41	0	0.3415	326.29	NE
MB0052	NA	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN	34	0	0	34	0	0.4706	367.12	NE
MB0053	NA	Intracellular protease	7	0	0	7	0	0.8571	94.17	NE
MB0054	rpsF	30s ribosomal protein s6 rpsf	7	0	7	0	0	0.1429	33.00	GD
MB0055	ssb	single-strand binding protein ssb (helix-destabilizing protein)	5	0	5	0	0	0.0000	0.00	GD
MB0056	rpsR1	30s ribosomal protein s18-1 rpsr1	5	0	5	0	0	0.2000	4.00	GD
MB0057	rplI	50s ribosomal protein l9 rpli	8	0	2	6	0	0.3750	280.33	NE
MB0058	NA	HYPOTHETICAL PROTEIN	16	2	0	14	0	0.3750	187.50	NE
MB0059	dnaB	PROBABLE REPLICATIVE DNA HELICASE DNAB	38	38	0	0	0	0.0000	0.00	ES
MB0060	NA	HYPOTHETICAL PROTEIN	21	0	0	21	0	0.8095	403.59	NE
MB0061	NA	ADP-ribose 1-phosphate phophatase related protein	23	22	0	1	0	0.0435	1569.00	ES
MB0062A	NA	Hypothetical protein	6	0	0	6	0	0.3333	14.00	NE
