#HMM - Genes
#command line: python3 /Users/jenniferstiens/anaconda3/envs/python38/bin/transit hmm output/A1_insertions.wig,output/A2_insertions.wig,output/C1_insertions.wig,output/C2_insertions.wig ref_seqs/Mbovis_LT708304.prot_table output/transit_hmm_pos_sum.txt -r Sum
#summary of gene calls: ES=471, GD=106, NE=3426, GA=32, N/A=10
#key: ES=essential, GD=insertions cause growth-defect, NE=non-essential, GA=insertions confer growth-advantage, N/A=not analyzed (genes with 0 TA sites)
#ORF	gene	annotation	TAs	ES sites	GD sites	NE sites	GA sites	saturation	mean	call
MB0001	dnaA	CHROMOSOMAL REPLICATION INITIATOR PROTEIN DNAA	32	32	0	0	0	0.0000	0.00	ES
MB0002	dnaN	DNA POLYMERASE III (BETA CHAIN) DNAN (DNA NUCLEOTIDYLTRANSFERASE)	31	30	0	1	0	0.0323	26.00	ES
MB0003	recF	DNA REPLICATION AND REPAIR PROTEIN RECF (SINGLE-STRAND DNA BINDING PROTEIN)	35	0	2	33	0	0.3714	808.38	NE
MB0004	NA	Zn-ribbon-containing, possibly RNA-binding protein and truncated derivatives	9	0	9	0	0	0.0000	0.00	GD
MB0005	gyrB	DNA GYRASE (SUBUNIT B) GYRB (DNA TOPOISOMERASE (ATP-HYDROLYSING)) (DNA TOPOISOMERASE II) (TYPE II DNA TOPOISOMERASE)	44	41	3	0	0	0.0455	52.00	ES
MB0006	gyrA	DNA GYRASE (SUBUNIT A) GYRA (DNA TOPOISOMERASE (ATP-HYDROLYSING)) (DNA TOPOISOMERASE II) (TYPE II DNA TOPOISOMERASE)	47	46	0	1	0	0.0213	1651.00	ES
MB0007	NA	POSSIBLE CONSERVED MEMBRANE PROTEIN	11	0	0	11	0	0.5455	199.33	NE
ILET	NA	tRNA-Ile	5	0	0	5	0	0.0000	0.00	NE
ALAT	NA	tRNA-Ala	3	0	0	3	0	0.0000	0.00	NE
MB0008c	NA	POSSIBLE MEMBRANE PROTEIN	4	0	0	4	0	0.2500	720.00	NE
MB0009	ppiA	PROBABLE IRON-REGULATED PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A PPIA (PPIase A) (ROTAMASE A)	7	0	0	7	0	0.7143	323.00	NE
MB0010c	NA	PROBABLE CONSERVED MEMBRANE PROTEIN	7	0	0	7	0	0.7143	1034.00	NE
MB0011c	NA	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN	3	0	0	3	0	0.3333	49.00	NE
MB0012	NA	PROBABLE CONSERVED MEMBRANE PROTEIN	16	0	0	16	0	0.6875	662.45	NE
MB0013	trpG	POSSIBLE ANTHRANILATE SYNTHASE COMPONENT II TRPG (GLUTAMINE AMIDOTRANSFERASE)	15	15	0	0	0	0.0000	0.00	ES
MB0014c	pknB	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE B PKNB (PROTEIN KINASE B) (STPK B)	25	25	0	0	0	0.0000	0.00	ES
MB0015c	pknA	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE A PKNA (PROTEIN KINASE A) (STPK A)	16	16	0	0	0	0.0625	1.00	ES
MB0016c	pbpA	PROBABLE PENICILLIN-BINDING PROTEIN PBPA	37	1	0	36	0	0.4054	727.27	NE
