#Summarized to Mean Gene Counts with TRANSIT.
#Reads normalized using 'TTR'
#Normalization Factors: 0.2022242627257723 2.7163348127929323 0.5341937296665994 0.989248428478069 4.029761640498131 0.24877982963699666 0.19549116853082513 2.391099599969484
#Files:
#output/A1_insertions.wig
#output/C1_insertions.wig
#output/A2_insertions.wig
#output/C2_insertions.wig
#output/B1_insertions.wig
#output/D1_insertions.wig
#output/B2_insertions.wig
#output/D2_insertions.wig
#Orf	Name	Number of TA sites	output/A1_insertions.wig	output/C1_insertions.wig	output/A2_insertions.wig	output/C2_insertions.wig	output/B1_insertions.wig	output/D1_insertions.wig	output/B2_insertions.wig	output/D2_insertions.wig
MB0001	dnaA	31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MB0002	dnaN	31	0.00	0.00	0.80	0.00	0.00	0.00	0.00	0.00
MB0003	recF	35	84.85	58.05	69.85	75.46	159.46	64.41	40.27	25.41
MB0004	NA	8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MB0005	gyrB	43	1.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MB0006	gyrA	46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MB0007	NA	10	24.08	8.69	0.81	20.18	0.00	51.89	40.39	52.84
ILET	NA	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ALAT	NA	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MB0008c	NA	4	138.44	33.28	0.00	0.00	16.12	81.49	0.00	0.00
MB0009	ppiA	7	60.34	119.91	37.47	6.80	339.65	241.60	87.04	72.76
MB0010c	NA	7	83.11	86.92	349.04	187.29	8.06	98.28	131.85	91.54
MB0011c	NA	3	15.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MB0012	NA	16	178.30	179.62	58.95	23.51	98.48	127.97	350.08	205.19
MB0013	trpG	15	0.00	0.00	0.00	0.00	168.98	0.00	0.09	2.55
MB0014c	pknB	24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MB0015c	pknA	16	0.08	0.00	0.00	0.00	4.28	51.49	0.00	0.00
MB0016c	pbpA	37	30.89	197.34	24.73	37.05	63.82	129.78	57.52	30.76
