ORF,Mtb_ortholog,functional_category,name,negative_call,positive_call,desc,sites,mean_ctrl,mean_exp,log2FC,sum_ctrl,sum_exp,delta_mean,pvalue,adj_pvalue
MB0001,Rv0001,information pathways,dnaA,ES,ES,CHROMOSOMAL REPLICATION INITIATOR PROTEIN DNAA,28,0,0,0,0,0,0,1,1
MB0002,Rv0002,information pathways,dnaN,ES,ES,DNA POLYMERASE III (BETA CHAIN) DNAN (DNA NUCLEOTIDYLTRANSFERASE),27,0,0.2,0.29,0,23.87,0.2,1,1
MB0003,Rv0003,information pathways,recF,NE,NE,DNA REPLICATION AND REPAIR PROTEIN RECF (SINGLE-STRAND DNA BINDING PROTEIN),32,73.5,74.9,0.03,9408.1,9583.03,1.4,0.9772,1
MB0004,Rv0004,conserved hypotheticals,NA,ES,GD,"Zn-ribbon-containing, possibly RNA-binding protein and truncated derivatives",8,0,0,0,0,0,0,1,1
MB0005,Rv0005,information pathways,gyrB,ES,ES,DNA GYRASE (SUBUNIT B) GYRB (DNA TOPOISOMERASE (ATP-HYDROLYSING)) (DNA TOPOISOMERASE II) (TYPE II DNA TOPOISOMERASE),39,0,0.5,0.56,0,73.44,0.5,1,1
MB0006,Rv0006,information pathways,gyrA,ES,ES,DNA GYRASE (SUBUNIT A) GYRA (DNA TOPOISOMERASE (ATP-HYDROLYSING)) (DNA TOPOISOMERASE II) (TYPE II DNA TOPOISOMERASE),44,0,0,0,0,0,0,1,1
MB0007,Rv0007,cell wall and cell processes,NA,NE,NE,POSSIBLE CONSERVED MEMBRANE PROTEIN,10,34,12.8,-1.34,1360,511.27,-21.2,0.3183,0.86644
MB0008c,Rv0008c,cell wall and cell processes,NA,NE,NE,POSSIBLE MEMBRANE PROTEIN,3,30.8,54.8,0.81,369.5,657.21,24,0.7287,1
MB0009,Rv0009,information pathways,ppiA,NE,NE,PROBABLE IRON-REGULATED PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A PPIA (PPIase A) (ROTAMASE A),6,201.3,61.3,-1.7,4831.3,1471.87,-140,0.0474,0.54465
MB0010c,Rv0010c,cell wall and cell processes,NA,NE,NE,PROBABLE CONSERVED MEMBRANE PROTEIN,7,77.4,168.4,1.11,2168,4714.27,90.9,0.3067,0.85963
MB0011c,Rv0011c,cell wall and cell processes,NA,NE,NE,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN,3,0,3.7,2.24,0,44.66,3.7,1,1
MB0012,Rv0012,cell wall and cell processes,NA,NE,NE,PROBABLE CONSERVED MEMBRANE PROTEIN,13,224.2,127.8,-0.81,11657.7,6646.02,-96.4,0.1891,0.77053
