#utest
#Console: python3 /Users/jenniferstiens/anaconda3/envs/python38/bin/transit utest output/permissive_wigs/perm_B1_insertions.wig,output/permissive_wigs/perm_D1_insertions.wig,output/permissive_wigs/perm_B2_insertions.wig,output/permissive_wigs/perm_D2_insertions.wig output/permissive_wigs/perm_A1_insertions.wig,output/permissive_wigs/perm_C1_insertions.wig,output/permissive_wigs/perm_A2_insertions.wig,output/permissive_wigs/perm_C2_insertions.wig ref_seqs/Mbovis_LT708304.prot_table output/utest_all_perm_ttr.tsv -n TTR
#Control Data: b'output/permissive_wigs/perm_B1_insertions.wig,output/permissive_wigs/perm_D1_insertions.wig,output/permissive_wigs/perm_B2_insertions.wig,output/permissive_wigs/perm_D2_insertions.wig'
#Experimental Data: b'output/permissive_wigs/perm_A1_insertions.wig,output/permissive_wigs/perm_C1_insertions.wig,output/permissive_wigs/perm_A2_insertions.wig,output/permissive_wigs/perm_C2_insertions.wig'
#Annotation path: b'ref_seqs/Mbovis_LT708304.prot_table'
#Time: 8.193161964416504
#Orf	Name	Desc	Sites	Mean Ctrl	Mean Exp	log2FC	U-Statistic	p-value	Adj. p-value
ALAT	NA	tRNA-Ala	3	0.0	0.0	0.00	0.00	1.00000	1.00000
ALAU	NA	tRNA-Ala	3	0.0	0.0	0.00	0.00	1.00000	1.00000
ALAV	NA	tRNA-Ala	4	4.3	5.9	0.48	6.00	0.61984	0.90568
ARGT	NA	tRNA-Arg	3	0.0	0.0	0.00	0.00	1.00000	1.00000
ARGU	NA	tRNA-Arg	3	0.0	0.0	0.00	0.00	1.00000	1.00000
ARGV	NA	tRNA-Arg	2	0.0	0.0	0.00	0.00	1.00000	1.00000
ARGW	NA	tRNA-Arg	4	0.0	0.0	0.00	0.00	1.00000	1.00000
ASNT	NA	tRNA-Asn	2	0.0	0.0	0.00	0.00	1.00000	1.00000
ASPT	NA	tRNA-Asp	0	0.0	0.0	0.00	0.00	1.00000	1.00000
CYSU	NA	tRNA-Cys	0	0.0	0.0	0.00	0.00	1.00000	1.00000
FADD15	NA	HYPOTHETICAL PROTEIN	9	129.2	470.5	1.86	579.50	0.41297	0.75999
GLNT	NA	tRNA-Gln	1	0.0	0.0	0.00	0.00	1.00000	1.00000
