ORF,Mtb_ortholog,functional_category,name,negative_call,positive_call,desc,sites,mean_ctrl,mean_exp,log2FC,sum_ctrl,sum_exp,delta_mean,pvalue,adj_pvalue
MB0001,Rv0001,information pathways,dnaA,ES,ES,CHROMOSOMAL REPLICATION INITIATOR PROTEIN DNAA,28,0,0,0,0,0,0,1,1
MB0002,Rv0002,information pathways,dnaN,ES,ES,DNA POLYMERASE III (BETA CHAIN) DNAN (DNA NUCLEOTIDYLTRANSFERASE),27,0,0.2,0.06,0,23.87,0.2,1,1
MB0003,Rv0003,information pathways,recF,NE,NE,DNA REPLICATION AND REPAIR PROTEIN RECF (SINGLE-STRAND DNA BINDING PROTEIN),32,42.6,71.2,0.68,5452,9116.57,28.6,0.3297,0.72863
MB0004,Rv0004,conserved hypotheticals,NA,ES,GD,"Zn-ribbon-containing, possibly RNA-binding protein and truncated derivatives",8,0,0,0,0,0,0,1,1
MB0005,Rv0005,information pathways,gyrB,ES,ES,DNA GYRASE (SUBUNIT B) GYRB (DNA TOPOISOMERASE (ATP-HYDROLYSING)) (DNA TOPOISOMERASE II) (TYPE II DNA TOPOISOMERASE),39,0,0.5,0.13,0,73.44,0.5,1,1
MB0006,Rv0006,information pathways,gyrA,ES,ES,DNA GYRASE (SUBUNIT A) GYRA (DNA TOPOISOMERASE (ATP-HYDROLYSING)) (DNA TOPOISOMERASE II) (TYPE II DNA TOPOISOMERASE),44,0,0,0,0,0,0,1,1
MB0007,Rv0007,cell wall and cell processes,NA,NE,NE,POSSIBLE CONSERVED MEMBRANE PROTEIN,10,33.7,12.7,-1.13,1349,506.85,-21.1,0.3117,0.71435
MB0008c,Rv0008c,cell wall and cell processes,NA,NE,NE,POSSIBLE MEMBRANE PROTEIN,3,9.8,20.2,0.77,118.1,242.7,10.4,0.4468,0.80882
MB0009,Rv0009,information pathways,ppiA,NE,NE,PROBABLE IRON-REGULATED PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A PPIA (PPIase A) (ROTAMASE A),6,196.1,44.2,-2.03,4705.8,1059.78,-151.9,0.0141,0.23666
MB0010c,Rv0010c,cell wall and cell processes,NA,NE,NE,PROBABLE CONSERVED MEMBRANE PROTEIN,7,77,146.8,0.89,2156,4110.18,69.8,0.3394,0.73461
MB0011c,Rv0011c,cell wall and cell processes,NA,NE,NE,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN,3,0,3.7,0.8,0,44.66,3.7,1,1
MB0012,Rv0012,cell wall and cell processes,NA,NE,NE,PROBABLE CONSERVED MEMBRANE PROTEIN,13,207.3,126.5,-0.69,10777.4,6580.31,-80.7,0.2039,0.61874
MB0013,Rv0013,intermediary metabolism and respiration,trpG,ES,ES,POSSIBLE ANTHRANILATE SYNTHASE COMPONENT II TRPG (GLUTAMINE AMIDOTRANSFERASE),12,1.5,0,-0.37,71.1,0,-1.5,0.2489,0.65191
MB0014c,Rv0014c,regulatory proteins,pknB,ES,ES,TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE B PKNB (PROTEIN KINASE B) (STPK B),22,0,0,0,0,0,0,1,1
MB0015c,Rv0015c,regulatory proteins,pknA,ES,ES,TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE A PKNA (PROTEIN KINASE A) (STPK A),14,2.2,0,-0.53,125.5,1.29,-2.2,0.4862,0.82599
